RaceID	RaceName	BallotID	BallotName	Votes	TotalBallotsCastByRace	PartyName	RaceJurisdictionTypeName
348	Legislative District 40 - State Representative Pos. 2	27465	Howard A. Pellett	536046	687238	(Prefers Green Party)	Legislative
349	Legislative District 41 - State Senator	25710	Steve Litzow	639178	2905354	(Prefers Republican Party)	Legislative
349	Legislative District 41 - State Senator	26006	Maureen Judge	2266176	2905354	(Prefers Democratic Party)	Legislative
350	Legislative District 41 - State Representative Pos. 1	24686	Marcie Maxwell	555061	2523005	(Prefers Democratic Party)	Legislative
350	Legislative District 41 - State Representative Pos. 1	27066	Tim Eaves	1967944	2523005	(Prefers Republican Party)	Legislative
351	Legislative District 41 - State Representative Pos. 2	24451	Judy Clibborn	273265	1242113	(Prefers Democratic Party)	Legislative
353	Legislative District 42 - State Representative Pos. 1	25900	Jason Overstreet	448680	2039454	(Prefers    Republican Party)	Legislative
353	Legislative District 42 - State Representative Pos. 1	27210	Natalie McClendon	1590774	2039454	(Prefers Democratic Party)	Legislative
354	Legislative District 42 - State Representative Pos. 2	23568	Vincent Buys	498694	2266791	(Prefers Republican Party)	Legislative
354	Legislative District 42 - State Representative Pos. 2	27746	Matthew Krogh	1768097	2266791	(Prefers Democrat Party)	Legislative
356	Legislative District 43 - State Representative Pos. 1	24520	Jamie Pedersen	276961	1258915	(Prefers Democratic Party)	Legislative
357	Legislative District 43 - State Representative Pos. 2	25958	Frank Chopp	574274	2610336	(Prefers Democratic Party)	Legislative
357	Legislative District 43 - State Representative Pos. 2	28037	Kshama Sawant	2036062	2610336	(Prefers Socialist Altern Party)	Legislative
359	Legislative District 44 - State Representative Pos. 1	22858	Hans Dunshee	99454	452062	(Prefers Democratic Party)	Legislative
359	Legislative District 44 - State Representative Pos. 1	22762	Mark Harmsworth	352608	452062	(Prefers Republican Party)	Legislative
360	Legislative District 44 - State Representative Pos. 2	25160	Mike Hope	513891	2335868	(Prefers Republican Party)	Legislative
360	Legislative District 44 - State Representative Pos. 2	24004	Mary McNaughton	1821977	2335868	(Prefers Democratic Party)	Legislative
362	Legislative District 45 - State Representative Pos. 1	25997	Roger Goodman	518475	2356705	(Prefers Democratic Party)	Legislative
362	Legislative District 45 - State Representative Pos. 1	24475	Joel Hussey	1838230	2356705	(Prefers Republican Party)	Legislative
363	Legislative District 45 - State Representative Pos. 2	24364	Larry Springer	646191	2937231	(Prefers Democratic Party)	Legislative
363	Legislative District 45 - State Representative Pos. 2	25738	Jim Thatcher	2291040	2937231	(Prefers Republican Party)	Legislative
364	Legislative District 46 - State Senator	24581	David Frockt	287901	1308640	(Prefers Democratic Party)	Legislative
365	Legislative District 46 - State Representative Pos. 1	25123	Gerry Pollet	436126	1982389	(Prefers Democratic Party)	Legislative
365	Legislative District 46 - State Representative Pos. 1	27895	Sylvester Cann	1546263	1982389	(Prefers Democratic Party)	Legislative
366	Legislative District 46 - State Representative Pos. 2	26800	Jessyn Farrell	535159	2432541	(Prefers Democratic  Party)	Legislative
366	Legislative District 46 - State Representative Pos. 2	25726	Sarajane Siegfriedt	1897382	2432541	(Prefers Democratic Party)	Legislative
368	Legislative District 47 - State Representative Pos. 1	24992	Mark Hargrove 	274488	1247672	(Prefers Republican Party)	Legislative
368	Legislative District 47 - State Representative Pos. 1	25921	Bud Sizemore	973184	1247672	(Prefers Democratic  Party)	Legislative
369	Legislative District 47 - State Representative Pos. 2	25113	Pat Sullivan	428482	1947646	(Prefers Democratic Party)	Legislative
369	Legislative District 47 - State Representative Pos. 2	25735	Andy Massagli	1519164	1947646	(Prefers Republican Party)	Legislative
371	Legislative District 48 - State Representative Pos. 1	25001	Ross Hunter	113943	517924	(Prefers Democratic Party)	Legislative
371	Legislative District 48 - State Representative Pos. 1	24748	Bill Hirt	403981	517924	(Prefers Republican Party)	Legislative
372	Legislative District 48 - State Representative Pos. 2	24987	Cyrus Habib	554510	2520500	(Prefers Democratic Party)	Legislative
372	Legislative District 48 - State Representative Pos. 2	27875	Hank Myers	1965990	2520500	(Prefers Republican Party)	Legislative
373	Legislative District 49 - State Senator	23322	Annette Cleveland	610186	2773574	(Prefers Democratic Party)	Legislative
373	Legislative District 49 - State Senator	25266	Eileen Qutub	2163388	2773574	(Prefers G.O.P. Party)	Legislative
374	Legislative District 49 - State Representative Pos. 1	22748	Sharon Wylie	291104	1323200	(Prefers Democratic Party)	Legislative
374	Legislative District 49 - State Representative Pos. 1	26885	Debbie Peterson	1032096	1323200	(Prefers Republican Party)	Legislative
375	Legislative District 49 - State Representative Pos. 2	25833	Jim Moeller	64784	294472	(Prefers Democratic Party)	Legislative
375	Legislative District 49 - State Representative Pos. 2	25245	Carolyn Crain	229688	294472	(Prefers Republican Party)	Legislative
23	Supreme Court - Justice Position 2	22696	Susan Owens	636236	2891983		Judicial
29	Supreme Court - Justice Position 8	22800	Steve Gonzalez	534973	2431696		Judicial
30	Supreme Court - Justice Position 9	22992	Sheryl Gordon McCloud	68624	311928		Judicial
30	Supreme Court - Justice Position 9	24650	Richard B. Sanders	243304	311928		Judicial
34	Court of Appeals, Division 1, District 1 - Judge Position 4	24326	Ronald E. Cox	86330	392409		Judicial
37	Court of Appeals, Division 1, District 1 - Judge Position 7	24993	Marlin Appelwick	505173	2296243		Judicial
40	Court of Appeals, Division 1, District 3 - Judge Position 1	23521	Mary Kay Becker	93367	424396		Judicial
43	Court of Appeals, Division 2, District 1 - Judge Position 3	22989	Christine Quinn-Brintnall	271438	1233809		Judicial
45	Court of Appeals, Division 2, District 2 - Judge Position 2	22783	Pamela (Pam) Loginsky	260739	1185176		Judicial
45	Court of Appeals, Division 2, District 2 - Judge Position 2	23567	Thomas Bjorgen	924437	1185176		Judicial
46	Court of Appeals, Division 2, District 3 - Judge Position 1	22839	Joel Penoyar	452754	2057971		Judicial
48	Court of Appeals, Division 3, District 1 - Judge Position 1	22955	Laurel Siddoway	355853	1617513		Judicial
52	Court of Appeals, Division 3, District 3 - Judge Position 2	24909	Teresa C. Kulik	270368	1228944		Judicial
53	Asotin, Columbia, Garfield Superior Court - Judge Position 1	23353	William D. (Bill) Acey	301915	1372339		Judicial
66	Chelan Superior Court - Judge Position 1	22740	Lesley A. Allan	379405	1724567		Judicial
67	Chelan Superior Court - Judge Position 2	22714	T.W "Chip" Small	472620	2148275		Judicial
142	Chelan Superior Court - Judge Position 3	23217	Alicia H. Nakata	459639	2089266		Judicial
142	Chelan Superior Court - Judge Position 3	23547	Travis Brandt	1629627	2089266		Judicial
68	Clallam Superior Court - Judge Position 1	23277	Erik Rohrer	527321	2396912		Judicial
68	Clallam Superior Court - Judge Position 1	22662	Christopher Melly	1869591	2396912		Judicial
69	Clallam Superior Court - Judge Position 2	23191	George L. Wood	448567	2038942		Judicial
6195	Clallam Superior Court - Judge Position 3	24057	S. Brooke Taylor	565550	2570682		Judicial
82	Douglas Superior Court  - Judge Position 1	23209	John Hotchkiss	32670	148499		Judicial
59	Ferry, Pend Oreille, Stevens Superior Court - Judge Position 1	23305	Patrick A. Monasmith	615009	2795496		Judicial
60	Ferry, Pend Oreille, Stevens Superior Court - Judge Position 2	23072	Allen Nielson	72599	329995		Judicial
83	Grant Superior Court - Judge Position 1	22704	Evan E Sperline	22130	100592		Judicial
84	Grant Superior Court - Judge Position 2	22694	John Knodell	199765	908021		Judicial
85	Grant Superior Court - Judge Position 3	22712	John Antosz	20387	92668		Judicial
86	Grays Harbor Superior Court - Judge Position 1	22632	Gordon L. Godfrey	254517	1156895		Judicial
87	Grays Harbor Superior Court - Judge Position 2	22629	Dave Edwards	315614	1434610		Judicial
88	Grays Harbor Superior Court - Judge Position 3	22625	Mark McCauley	584007	2654579		Judicial
9219	Island Superior Court - Judge Position 1	23638	Alan R. Hancock	411343	1869743		Judicial
9220	Island Superior Court - Judge Position 2	23648	Vickie I. Churchill	92242	419283		Judicial
89	Jefferson Superior Court - Judge Position 1	22623	Keith C Harper	277854	1262974		Judicial
89	Jefferson Superior Court - Judge Position 1	24410	Peggy Ann Bierbaum	985120	1262974		Judicial
156	King Superior Court - Judge Position 42	27018	Sue Parisien	293687	1334939		Judicial
156	King Superior Court - Judge Position 42	24420	Christopher A. Washington	1041252	1334939		Judicial
96	Kitsap Superior Court - Judge Position 7	23587	Jennifer Forbes	577038	2622901		Judicial
96	Kitsap Superior Court - Judge Position 7	24711	Karen Klein	2045863	2622901		Judicial
97	Kittitas Superior Court - Judge Position 1	23723	Fran Chmelewski	620891	2822230		Judicial
97	Kittitas Superior Court - Judge Position 1	23544	Jim Denison	2201339	2822230		Judicial
377	Kittitas Superior Court - Judge Position 2	23719	Scott R. Sparks	86409	392767		Judicial
63	Klickitat, Skamania Superior Court - Judge Position 1	23288	Brian Altman	2942	13373		Judicial
98	Lewis Superior Court - Judge Position 1	24180	Nelson E. Hunt	20088	91310		Judicial
99	Lewis Superior Court - Judge Position 2	23117	James W. Lawler	204641	930186		Judicial
100	Lewis Superior Court - Judge Position 3	22847	Richard L. Brosey	362350	1647046		Judicial
101	Lincoln Superior Court - Judge Position 1	23403	John F. Strohmaier	653520	2970547		Judicial
102	Mason Superior Court - Judge Position 1	23588	Amber L Finlay	183594	834520		Judicial
103	Mason Superior Court - Judge Position 2	22735	Toni A. Sheldon	302836	1376528		Judicial
28820	Okanogan Superior Court - Judge Position 2	23563	Chris Culp	498715	2266886		Judicial
64	Pacific, Wahkiakum Superior Court - Judge Position 1	22880	Mike Sullivan	61138	277899		Judicial
64	Pacific, Wahkiakum Superior Court - Judge Position 1	28039	Dennis Gordon	216761	277899		Judicial
9204	San Juan Superior Court - Judge Position 1	23359	Donald E. Eaton	162622	739193		Judicial
214	Thurston Superior Court - Judge Position 2	23067	Christine Schaller	375824	1708289		Judicial
214	Thurston Superior Court - Judge Position 2	26986	Jim Johnson	1332465	1708289		Judicial
216	Thurston Superior Court - Judge Position 4	23224	Erik D. Price	645986	2936301		Judicial
216	Thurston Superior Court - Judge Position 4	25876	Indu Thomas	2290315	2936301		Judicial
108	Walla Walla  Superior Court - Judge Position 1	22695	John W. Lohrmann	56721	257823		Judicial
111	Whatcom Superior Court - Judge Position 2	24522	Dave Grant	62539	284267		Judicial
111	Whatcom Superior Court - Judge Position 2	22675	Deborra Garrett	221728	284267		Judicial
113	Whitman Superior Court - Judge Position 1	23118	David Frazier	474849	2158406		Judicial
